,features,categorical_target_1,categorical_target_2,continuous_target_1,continous_target_2
80794,"Gritty berry aromas come with a strong dosage of olive, tobacco and old-school Chilean green herbs. The wine has a linear feel and herbal flavors of plum mixed with bell pepper and olive. Pointy acidity makes the finish a bit rough and scouring.",Chile,Cabernet Sauvignon,86,12.0
26300,"Fresh citrus and stone fruit give this Soave Classico a very bright and lively feel. It's an easy, food-freindly wine produced in the informal but cheerful style that characterizes this white wine region in northern Italy.",Italy,Garganega,87,22.0
97414,"From a well-loved, well-revered vineyard, this full-bodied, generously lush and plush wine was aged in French oak, a good proportion of it new, for 21 months. Licorice, lavender and exotically subtle spice—half-clove and half-white pepper—give it intrigue and delectability.",US,Cabernet Sauvignon,92,125.0
27989,"There's a touch of barnyard on the nose of this bottling, which also shows a soy and sweet black cherry scents. The palate is marked by beef char and cooked black fruit flavors, with a twist of funkiness, lending intrigue.",US,Syrah,86,32.0
18767,"Named after Léonie Duchêne, one of the founders of the house in 1868, this pale-colored rosé is well balanced with a touch of almonds as well as red-berry fruit flavors. There is an attractive crispness to it and a mineral edge that gives the wine structure. Drink now.",France,Champagne Blend,88,40.0
110127,"This blend of Petit Verdot, Sangiovese, Syrah and Colorino shows notes of green grass, clover and plump red fruit. This is a wine of medium structure and build with a plump cherry core and a dusty finish. Simple and genuine overall.",Italy,Red Blend,89,
107661,"Heady aromas of citrus and orchard fruit almost jump out of the glass. The savory, medium-bodied palate tastes of ripe pear, mature apple and creamy peach interspersed with energizing mineral notes. Fresh acidity brightens the creamy flavors.",Italy,Greco,90,21.0
68915,"Aromas of spiced applesauce and minerals mark the nose. A solid palate with mild acidity yields pithy citrus and nectarine flavors, while the finish is short and hollow, with a fleshy weight.",Spain,Verdejo,86,18.0
80193,"The well-priced Nubiola offers well-integrated notes of black currant, vanilla and allspice with deep layers of toasted wood and cured meats that come into view as the wine spends more time in the glass. The tannins are drying and firm and the wine ends with crisp firmness and tannic determination. Drink after 2010.",Italy,Nebbiolo,90,39.0
126254,"A terrific Cabernet that gives all the richness and opulence you expect in an expensive Napa Cab, yet controls it with firm tannins, acidity, minerals and earthiness. Explosive in blackberry and cherry-pie filling and chocolate granola-bar flavors that are so delicious, you can't stop reaching for another glass. The grapes come 100% from the winery's Atlas Peak appellation vineyard.",US,Cabernet Sauvignon,94,125.0
121408,"Wiry cherry and berry aromas include a note of olive. This value Cab is lean and light in body, with leafy red-fruit flavors. An inoffensive finish with no new flavors struggles but holds it together.",Chile,Cabernet Sauvignon,84,8.0
92324,"Bright, clean, crisply rendered raspberry fruit—nicely spiced—really shines here. This relatively modestly priced cuvée carries itself with style and elegance, still young, tight and tart, with plenty of medium-term aging potential.",US,Pinot Noir,89,24.0
54459,"Roasted, leathery aromas are reedy and minty but not too heavy or over the top. This feels straightforward, while crusty blackberry flavors come with doses of mint and herbs, ending with a lightly oaked finish.",Spain,Monastrell,86,19.0
106013,"Pretty Nebbiolo scents of red berry, mint and leather emerge on this straightforward red. On the solid, balanced palate, firm tannins support red cherry, grilled herb and clove. Drink through 2021.",Italy,Nebbiolo,90,60.0
33292,"Red berry, tilled soil and blue flower aromas take center stage on this easygoing red. The bright palate shows juicy Marasca and a hint of cinnamon alongside brisk acidity and lithe tannins. It's made for sheer drinking pleasure so enjoy soon.",Italy,Red Blend,87,22.0
124989,"A dark-red color, aromas like dark chocolate, flavors recalling black cherry, and a dry rather than sweet taste make this a great wine for a special meal. It has layers of fruit, a bit of smoke, and lots of fine tannins that pile up for a rich mouthfeel and lingering finish.",US,Red Blend,89,13.0
113259,"This shows clean and polished aromas of crème de cassis, wild berry, cola, ginger and dried mint. The mouthfeel is linear and bright but also firm.",Italy,Nebbiolo,91,75.0
19434,"This earthy red starts with aromas of cedar, smoke and pepper, followed by flavors of red berries, smoke and minerals. A dry and peppery backbone fishes clean on the tongue. Spunky and fun.",Greece,Cabernet Sauvignon,85,13.0
85539,"Blueberry and pepper beckon on a broodingly dark and moody palate. They deliver with an even spicier, more lusciously berried palate of dense intensity, yet there is nothing heavy about this. There is a pleasant tannic grip and immense freshness. Elegance, spice, velvet and poise unite in this very bottle.",Austria,Blaufränkisch,93,72.0
124568,"Aromas of pithy citrus and pineapple are decent but unrefined, while flavors of tangerine and pineapple are tropical, zesty and what they are. This is nothing more than a fresh, simple, citrusy white to sip on the patio. Anything beyond that would be stretching it.",Argentina,Sauvignon Blanc,84,10.0
80378,"Here's a simple and clean white wine with straightforward appeal and a frank, upfront nature. Cut grass, lemon and honeydew melon describe the bouquet.",Italy,Pinot Grigio,84,9.0
39598,"This wine marries Napa Valley's elegant tannin structure with Zin's naturally briary rusticity, with good results. The flavors abound in wild berry, currant, tobacco, cola, tabasco and exotic spice. It will be great with grilled beef.",US,Zinfandel,88,35.0
98610,"Latex and baked-bean aromas are candied at first, then grassy. This Malbec is intense but harsh in feel. Herbal plum and currant flavors are slightly horsey, and it feels hot and scratchy on a minty, herbal finish.",Argentina,Malbec,86,18.0
3479,"A finely made wine, with elegant fruit and tannins, but definitely on the light side. The red berry fruits are soft and juicy, already a pleasure to drink, with only short-term aging.",France,Bordeaux-style Red Blend,88,35.0
77748,"This warm, forward wine has sensations of nail polish remover, underbrush, resin, mature black plum and overripe black cherry. The evolved palate is framed by astringent tannins that dry out the mouth.",Italy,Aglianico,86,49.0
102189,"An oaky style, yet one that doesn't seem heavy or overdone. Buttered apple and toast aromas set off cinnamon and cashew flavors and a long, spicy-nutty finish.",New Zealand,Chardonnay,86,16.0
62972,"Give this Sangiovese Riserva a few minutes in the glass to open. Once it does, this dense and richly concentrated expression offers raw notes of black cherry and spice with moist pipe tobacco at the back.",Italy,Sangiovese,88,38.0
17155,"Oily and pungent on the nose, this has a sweaty element to go with citrus aromas and flavors. As it opens, grapefruit and licorice gumdrop flavors emerge, with a toasty oak note coming up late.",Argentina,Chardonnay,84,
69957,"This was a difficult vintage, and the wine reflects it. It feels off-balance, with astringent, chalky tannins, and lean, simple fruit.",US,Cabernet Sauvignon,85,40.0
25749,"Fragrances recall acacia flower, chamomile, stone fruit and a whiff of dried hay. The savory palate offers intense white peach, Bartlett pear and yellow apple accented with mineral and almond notes alongside crisp acidity. It's well balanced with a long, lingering finish.",Italy,Friulano,91,20.0
248,"This seems as if it was assembled from lesser barrels. It's pleasant, very light, simple and tart; the dominant flavor is cranberry juice.",US,Pinot Noir,85,45.0
108811,"Savory spice and candied fruit notes emerge on the bouquet of this sophisticated wine. It shows tight, silky tannins and delivers a brightly intense finish with notes of dried ginger, cedar and licorice.",Italy,Nebbiolo,92,75.0
77915,"The nose on this wine from American Idol producers Nigel Lythgoe and Ken Warwick is a bit reluctant to show itself at first, then lets go of rounded red and purple fruits, with freshly turned soil and dust. Ripe black cherries and tart plum skins mix on the earthy palate, and the tannins will unfurl with more time.",US,Cabernet Sauvignon,87,20.0
50765,"An early freeze shut down the vineyards in 2009, and produced wines that are less immediately generous than the ripe, fruit-driven 2008s. The vanilla wafer aromas from barrel aging show prominently here, with the wild berry fruit being tart and so compact as to be almost invisible at first. But patience is rewarded, as the wine fills in gracefully with nuanced notes of herb and dried leaf, as well as balanced acids.",US,Pinot Noir,89,85.0
113099,"A rich, full-bodied nose of tropical fruit leads on this complex Sauvignon Blanc from Jardin. The wine has a crisp wave of fruit with a spicy overall character, but there is complexity and roundness as well. An elegant wine that's integrated and ageable.",South Africa,Sauvignon Blanc,88,14.0
51540,"This is a potentially fine wine, spoilt by high alcohol. The structure is dense and with enough acidity and solid tannins. The alcohol is the problem, derived from fruit that tastes overripe.",Portugal,Portuguese Red,86,
64130,"Pungent and smoky, filled with minerals and grapefruit, this is top-flight Sauvignon Blanc. The mouthfeel is smooth, silky and slightly creamy; the finish, long and delicate.",Italy,Sauvignon Blanc,90,43.0
124917,"Fresh, pure notes of Conference pear peel entice the nose. The palate has a richer, rounder aspect and runs the gamut of pear notes, from fresh and green to juicy and yellow. Midpalate texture and gentle vanilla spice are added bonuses.",France,Pinot Gris,89,30.0
62939,"One of Portugal's priciest table wines, this vintage boasts cherry and plum aromas that just don't seem all that intense, followed by bright cherry flavors accented by modest cedar. The long finish is evidence of its quality, but it turns astringent and one wonders whether the fruit will outlast the tannins.",Portugal,Portuguese Red,87,84.0
21098,"A spark of flint leaps out of the glass, followed by green plums and Conference pear. That stony touch also tempers the concentrated body and runs from start to pleasantly long finish, ending in a pleasantly bitter sting. Drink as of 2016.",Austria,Grüner Veltliner,94,55.0
53074,"With fruit hailing mostly from Sonoma (83%), this Overlook also sources from Monterey (11%) and Santa Barbara counties (6%) to craft a barrel-influenced wine that's intense in caramel, lemon and vanilla sugar, rich yet balanced.",US,Chardonnay,89,23.0
123040,"This is fully mature with its leather and toast flavors enhanced by a smooth, rich texture. It is a delicious wine to drink now, with some red fruits and final acidity.",France,Bordeaux-style Red Blend,88,25.0
60393,"Aromas of fresh green straw and citrus set the stage for a mouth full of grass and citrus, which may sound strange, but it's what we found. The finish is tangy and hard-edged, but a touch of sweetness saves it from a worse fate and actually brings the wine to a good finish. About 40% of the cuvée was barrel fermented, which gives it a softer feel than it might otherwise have.",US,Sauvignon Blanc,86,18.0
47931,"This lively white, made with the native grape Assyrtiko, starts with a big, citrusy nose, followed by more complex flavors of citrus, flowers and spice. Rich and warm, the wine still has an underbelly of dancing acidity that keeps it food friendly. An elegant wine with a lingering floral finish.",Greece,Assyrtico,88,20.0
95487,"This opens with aromas suggesting toast, menthol, mature berry, coffee and a balsamic note. On the full-bodied palate, notes of white pepper, cinnamon and powdered sage accent dried black cherry while firm, close-grained tannins provide the framework.",Italy,Nebbiolo,89,60.0
25836,"The price is right for this lush, immediately attractive Shiraz from Victoria. Smoky, vanilla-scented oak frames black currant and tobacco flavors that finish soft and velvety. Lacks the depth to age past 2010, but very flattering now. Imported by Epic Wines.",Australia,Shiraz,88,14.0
48333,"White flowers and wild anise give this a crisp, tangy quality, the fruit balanced and refined, showing up as Asian pear and Meyer lemon. The voluptuous finish adds depth without overbearing power.",US,Chardonnay,90,25.0
120278,"Expressive fruit aromas and wood perfumes announce this wine. With 94% Cabernet Sauvignon, this is a complex wine marked by purity of black fruits, berries, toast and tannins. It has power, richness and a lovely edge of spice to go with the acidity. The wine is firmly structured, while bursting with fruit and freshness.",France,Bordeaux-style Red Blend,96,
48548,"Here's a caramel and red fruit-flavored wine that is soft and round. It is light and bright, with a light prickle on the tongue as well as a tangy, orange peel texture. Screwcap.",Portugal,Rosé,84,
53955,"Forward and a bit on the chunky side, with fruit flavors of raspberry and cherry, this ready-to-drink wine shows the more open and fruit-driven aspect of the vintage. Tasty highlights suggest chocolate-coated orange peels.",US,Pinot Noir,90,40.0
52875,This wine blends Merlot from Stagecoach and Antinori vineyards on Atlas Peak with Malbec from the Trefethens in Oak Knoll and Merlot and Syrah from Hudson Vineyards in Carneros. Together the varieties provide a juicy hit of dark cherry and plum that's densely built and moderate in acidity. The finish is marked by meat and tobacco.,US,Merlot,92,45.0
56262,"Ripe and fruit forward, this boasts aromas of blackberry jam, boysenberry, spice and pastry crust. The palate is lush and creamy, with a soft core that's framed by accessible tannins. It's a bit warm on the finish, but the flavors of berry and cedar linger.",US,Merlot,88,20.0
70013,"Clean and crisp, the main aromas and flavors are green apples and spice. A forward, consumer-friendly, simple Chardonnay.",US,Chardonnay,85,10.0
45460,"This is a micro-sized nine-acre estate, with vines that are 50 years old. Complex and rich, it is a generous burst of ripe full Merlot that is developing well. Black fruits, spice and juicy acidity all contribute to a wine that will ready to drink from 2017.",France,Merlot,93,83.0
38460,"Firm and refined, this fragrant red offers intriguing new leather, black-skinned fruit, truffle, dark spice and balsamic notes. The palate is elegant and structured, evoking succulent red cherry, cranberry, star anise, and chopped mint with a vein of of bright acidity and taut, polished tannins. Youthfully austere, it has impressive aging potential. Drink 2022–2037.",Italy,Sangiovese,93,50.0
12121,"An excellent effort, this deserves its “limited” designation, and not just because it's a three-barrel selection. Dense raspberry and black cherry anchor a substantial wine with plenty of well-ripened tannins. Spending 22 months in one-quarter new French oak adds streaks of dark chocolate and espresso. The acid-tannin balance is spot-on.",US,Syrah,90,63.0
118155,"Extremely pale in color and dilute in flavor, this might be reminiscent of watermelon, and could go down easily on a warm day. But there's not much here in the way of actual flavor.",US,Rosé,83,18.0
68463,"This great buy shows a sophisticated blend of spice and fruit aromas. Medium-bodied and classically dry, it has good balance, moderate fruit flavors and light toast and ginger notes that add complexity.",US,Chardonnay,90,10.0
24337,"Without big oak or big fruit to make it ungainly, this is a real food-friendly Chardonnay. The delicate floral aromas and understated yet finely etched pear and almond flavors almost seem designed to show off that special weekend dish you just spent hours making.",France,Chardonnay,86,26.0
30149,"Although the alcohol is relatively high, it's balanced by the wine's rich and ripe fruit core and soft tannic structure. The nose needs time to fully open up, revealing intense black-plum and cherry aromas. Jammy and full on the palate, this has a hint of black pepper on the close.",Israel,Merlot,87,40.0
38829,"Hearty in toasty vanilla, this softly textured Primitivo has a wealth of blackberry fruit and weighty texture that veers dangerously close to overpowering before pulling back and finding its balance. The finish keeps you coming back for more.",US,Primitivo,88,24.0
78490,"When the Craig style of extreme ripeness works, it's decadently delicious. When it doesn't, the wines can be tired. This '06 Bordeaux blend hovers in the middle. It's superrich in black currants and milk chocolate, yet has a melted feeling that needs greater tannin-acid structure.",US,Cabernet Sauvignon,86,48.0
75561,A light yeasty quality and a note of mustard stick out on an otherwise generic white-fruit nose. This is fairly full in body and well balanced—flavors of melon and stone fruits fall off on the finish and taste slightly oxidized. Drink now.,Spain,Godello,88,14.0
8784,"A dark tint and ripe aromas of blackberry, black plum and leather are appealing and inviting. This is weighty and full-bodied, with blackberry, boysenberry and cassis flavors. There's not a lot of nuance or complexity, but overall this is clean, tasty and generous.",Spain,Tempranillo,89,11.0
57722,"Aromas of espresso, spiced plum and whiffs of oak-driven spice take center stage on this structured red. The firm elegant palate doles out black cherry, raspberry jam, cinnamon and licorice set against assertive fine-grained tannins and bright acidity. Drink 2018–2028.",Italy,Aglianico,91,30.0
68366,"Black-currant fruit and attractive acidity are layered with ripe, dark tannins and concentration. The potential is there, although it is likely be over the short term. Drink from 2018.",France,Bordeaux-style Red Blend,90,
76623,"Made from a majority of Cabernet Sauvignon, this brawny, full-bodied wine evokes tobacco, coconut and cherry cola, the flavors commingling within a frame of taut structure and moderate acidity.",US,Bordeaux-style Red Blend,90,350.0
84407,"This single vineyard wine shows its pedigree with firm tannins and structured fruit. It is serious wine, designed for aging with its structure, wood aging aromas and perfumed fruits. It is a blend of Tinta Roriz and Castelão which together bring out both tight texture and fruitiness. The wine needs to age, so drink from 2018.",Portugal,Portuguese Red,90,15.0
64824,"Earthy and rubbery on the nose, and rather dark for a $10 Rioja. The palate is jammy and solid, with berry flavors, a hint of toast and heat. The finish is somewhat burning, but overall it's a legit blend of Tempranillo and Garnacha that fits the “value” mold.",Spain,Red Blend,85,10.0
35195,"Aromas of underbrush, dark-skinned berry, espresso menthol and scorched soil lead the nose. On the elegant, structured palate, firm, polished tannins carry dried black cherry, raspberry, cinnamon toast and a touch of anise. Drink 2017–2023.",Italy,Red Blend,91,55.0
121299,"There's an abundance of crisp black cherry and cassis flavors in this Cabernet Sauvignon, but hints of green leaves and wet soil lend a dark, elegant tone. Quite supple and full on the palate, it finishes long with staunch, grippy tannins.",US,Cabernet Sauvignon,87,25.0
107309,"With a dark purple hue and rubbery, horsy aromas of black fruit, leather, dried beef and coffee, this full-bodied blend of 95% Syrah and 5% Garnacha delivers plump, chewy flavors of dark plum and ripe blackberry. There's also a lot of animal, earth and leather to the rustic finish.",Spain,Syrah-Grenache,87,30.0
92410,"Coming from the cool 2011 vintage this wine offers a blue-fruit profile seldom seen in the state for this variety along with notes of chocolate and coffee. It's elegantly styled with a soft feel, trailing toward the finish.",US,Merlot,87,28.0
70661,"A seriously rich and spicy wine, heavily structured and dense. It has gone from generous to over the top, giving a powerhouse of fruit and tannins that stretches the boundaries of its structure. It's for those who like super-rich Bordeaux.",France,Bordeaux-style Red Blend,86,35.0
53870,"Stewed prune, blue flower, Asian spice and a whiff of oak come together on this. The dense palate offers raisin, blackberry extract, tobacco, vanilla and licorice alongside firm fine-grained tannins. Drink 2017 through 2024.",Italy,Red Blend,90,75.0
18959,"Freshly aromatic, this is a Portuguese equivalent of a Gewürztraminer. It has all the lychees and spice as well as a thick, almost viscous texture. Good acidity helps the balance. Delicious, as an apéritif or with Asian food.",Portugal,Fernão Pires,89,
6894,"Aromas of white flower, crushed herb, fennel and cut grass emerge on this vibrant white. The bright palate shows citrus zest, mint and mineral alongside crisp acidity.",Italy,White Blend,87,24.0
92492,"This opens with a blast of espresso bean that lends a modern twist. The oak tones are softened by wild berry and licorice notes. The mouthfeel is steely, fresh and firm.",Italy,Nebbiolo,90,
117941,"Pretty good price for what you get. Shows everyday flavors of pears, pineapples and peaches, with a touch of nutmeg and cinnamon. Best Buy.",US,Chardonnay,84,9.0
117143,"What's so wonderful about this Pinot is the way it reconciles all sorts of opposites. It's dry but sweet in fruit, and delicate yet potent at the same time. It's totally accessible now, but enormously complex. Flavors of raspberries and cherries meld with pomegranates and persimmons, as well as mushrooms, tea and licorice. It's a joy to drink now, and should develop in the cellar for at least 10 years.",US,Pinot Noir,96,60.0
40813,"Pretty aromas of underbrush, crushed blue flower and perfumed berries lead the nose on this robust Rosso. The dense palate delivers succulent black cherry, raspberry, mocha and sweet cake spices alongside firm tannins. It's not an ager so enjoy soon.",Italy,Sangiovese,90,18.0
58240,"Displays the majesty of Rhein Riesling in a dry format, combining muscle (13% alcohol) with elegance and length. Layers of dried and fresh fruit unfold on the palate, backed by a solid underpinning of minerality and spice.",Germany,Riesling,92,55.0
52649,"A beautiful rounded wine, full of juicy fruit, but sustained by a strong tannic structure. This dryness suggests good aging potential, as does the ripeness of the fruit and the acidity. Keep for at least 6 years.",France,Pinot Noir,94,95.0
46454,"From Crasto's new vineyards in the eastern Douro Superior, this is a hot country wine resulting in superrich, full-bodied character with a surprising richness. It is soft, the tannins comfortably embedded in the cushion of ample fruit",Portugal,Portuguese Red,89,24.0
120024,"The wonderful old-gold color of this tawny leads into a generous, rich wine that has retained fruits while also showing a woody character that is typical of wines this old. With spice, dried raisins and intense acidity, it is a beautiful wine that deserves to be drunk just by itself.",Portugal,Port,94,
111709,"Rich, dense and full of black fruits, this wine conveys a dusty tannic character as well as mint, spice and blackberry fruitiness. Eight months of wood aging softened the structure and deepened the density of the wine. It is ready to drink.",Portugal,Alicante Bouschet,91,40.0
50364,"Dark plum, mulberry, brown sugar and spice scents show on the nose of this rich and dense bottling. It has a crowd-pleasing palate, as its black plum, nutmeg and violet flavors will prove familiar to both Pinot Noir and Cabernet lovers.",US,Grenache,92,42.0
39258,"This is firmly structured, and it shows the earthy fruit character of Savigny. The red plum flavor is cut with acidity. It's worth aging for 2–3 years.",France,Pinot Noir,87,
94283,"Made with 60% Sangiovese, 25% Cabernet Sauvignon and 15% Merlot, this opens with delicate aromas of black currant, leather and toast. The accessible palate doles out mature black cherry, vanilla and tobacco alongside chewy tannins and modest acidity.",Italy,Red Blend,88,28.0
66169,"This lively wine comes from the Clarence Dillon group (Château Haut-Brion). It offers good balance between the considerable acidity and the red-berry fruit. With its spicy background, the wine is delicious to drink now.",France,Rosé,88,15.0
116443,"Soft and rounded, this has good depth of flavor from the bite of acidity and orange zest flavor. An apple note and a touch of toast give this wine further shape.",France,Champagne Blend,87,
20308,"This cuvée is a barrel selection, fermented with whole berries and aged in 35% new oak. Simple strawberry and raspberry fruit seems almost weightless, and the quick finish carries a strong streak of bouillon.",US,Pinot Noir,86,40.0
39001,"A blend that is dominated by Arinto, this is crisp and lemon flavored with hints of riper yellow fruits. It has a lively, bright aftertaste. Drink now.",Portugal,Portuguese White,85,9.0
33220,Carbonic maceration is the fermentation technique employed in this wine. It brings out vibrant Bing-cherry flavors and with a hint of bread dough. There are interesting highlights of cured meats also. This is a good choice for drinking with roasted birds.,US,Pinot Noir,86,22.0
98411,"Even though this Chardonnay has rich, ripe flavors of tropical fruit, peaches, apples and honey, it possesses an austere elegance by virtue of dryness, minerality and acidity. The blocks from which the grapes were grown are part of Stonestreet's holdings in the mountains overlooking Alexander Valley. This is a fine wine, intricate and powerful.  Drink now–2015.",US,Chardonnay,92,40.0
125078,"Shows the fine varietal characteristics of dryness, silkiness and fruitiness you want in a nice Russian River Pinot, with suggestions of cherries, currants, root beer and smoky oak. There's also a streak of wintergreen tartness that seems to limit the cellar-worthiness. Best now and through 2010.",US,Pinot Noir,86,48.0
14756,"A bouquet of cherry, white chocolate and juniper berry sets the stage for flavors of raspberry, blackberry, blueberry pie and baking spices. It is smooth in the mouth, with a sense of soft sweetness that is neither overpowering nor cloying, bolstered by a pervasive backbone of acidity.",Georgia,Red Blend,90,20.0
76231,"A blend of Touriga Nacional and Touriga Franca, this dark-colored, serious wine is concentrated and structured. It offers black fruits, giving a brooding character that's full of power. The aftertaste with its acidity and juicy fruit is elevated and leaves with a lift.",Portugal,Portuguese Red,89,18.0
24723,"Soft, smooth and fruity, this polished wine is full of red berry fruits and a touch of licorice. The juicy, ripe, immediately attractive aftertaste comes from the local Castelão grapes in the blend. Drink now.",Portugal,Portuguese Red,85,11.0
46289,"Briny, leathery, horsey berry aromas are alarming at first but settle in due time. A chunky mouthfeel struggles before finding its timing, while oaky flavors of hickory, bitter char and black fruits finish baked and herbal. This is good but raw, raspy and green.",Spain,Red Blend,86,16.0
56842,"This is a ripe wood-aged wine drawn from a selection of barrels. Eucalyptus flavors go with the black fruits and solid tannins. The wine is dense, and still obviously very young. It is going to be an impressive ripe wine. Drink from 2019.",France,Bordeaux-style Red Blend,91,19.0
89270,"Pure Baga in all its glory, packed with dry and dark tannins and a brooding character that is mitigated by the rich dark plum and blackberry jelly flavors. It's a wine that is probably at its peak, still with its tannins and structure although now with rich fruits and intense final acidity. Drink now and until 2022.",Portugal,Baga,93,80.0
114072,"This earthy wine is full of firm and dry tannins. It has a dense and dark character, very concentrated along with its red berry fruits and acidity. At five years, it still tastes young and certainly tannic, not moving very far.",France,Malbec-Merlot,85,18.0
93226,"This blends fruit from Red Mountain's Force Majeure Vineyard and Boushey Vineyard. Fermented using native yeast, it shows black cherry, cola and earth, with a drying finish that's redolent of wet cement. This is complex and even delicate.",US,Syrah,90,35.0
18978,"This is a very feminine sparkler with a beautiful bouquet of fresh white rose and jasmine. It has a delicate, pulpy consistency and would pair well with zucchini flowers stuffed with mozzarella cheese.",Italy,Prosecco,89,38.0
14346,"Stature is always a Bordeaux blend, but varies in vineyard source each year. This '04 is soft, utterly delicious and fully drinkable now. It's rich in black currant, cherry pie filling, plum, anise and spice flavors, generously aged in smoky new oak. Made in the modern style, it will hold effortlessly through 2012, at least.",US,Bordeaux-style Red Blend,96,110.0
4261,"Baking spice, vanilla, dill and cherry aromas lead to a mixture of barrel and fruit flavors, with the oak tannins bringing a sense of astringency.",US,Cabernet Sauvignon,85,17.0
125761,"Ripe fruit explodes in this wine, which swamps the mouth with crushed, jammy blackberries, cherries and raspberries. Oak adds sweet buttered toast and smoke, but it's the fruit that really stars.",US,Syrah,88,39.0
107824,"A yellowish salmon in color, this wine shows hints of watermelon, bubble gum and cotton candy in the light and pleasantly uncomplicated nose. There is great energy on the palate, with more focus on a steely, metallic texture rather than ripe flavors, proving fresh, bright and quick on the sip.",US,Pinot Noir,88,23.0
99412,"Dry, barrel-influenced and solid on the nose, with tempered aromas of black cherry and berry. The palate is juicy and shows good physical definition, while the flavors of raspberry and plum are good. Straight-ahead and solid on the finish.",Chile,Cabernet Sauvignon,88,25.0
77076,"Cola, smoked cherries, rhubarb, earthy beets, crushed cloves and a touch of iron show on the nose of this wine by Kenneth Joey Gummere. The attention-grabbing texture on the grippy palate unleashes flavors of earthy rhubarb, beet, rose hips and a touch of mint.",US,Pinot Noir,93,45.0
129382,"Citrus acidity and raspberry fruit combine in this ripe, sun-drenched wine. It has a fine balance of crispness, with rich fruits and a delicate lemon note on the finish.",France,Rosé,87,23.0
3871,"The Thanisch wines from the Doctor vineyard rarely stand out in our magazine's blind tastings, making their value proposition questionable. That said, this is a finely elegant wine, with floral details on the nose and enduring stony notes on the finish that mark it as something special. At only 7.5% abv, you'd expect an intensely sweet wine, but the sugars are amply buffered by acids and minerality, so the overall impression is one of richness without excessive weight rather than sugary sweetness.",Germany,Riesling,91,84.0
24020,"Toast, spice, lees and baked-apple aromas are followed by medium-bodied flavors that show restraint.",US,Chardonnay,87,22.0
18686,Peach and honeysuckle aromas lead the way on this lively wine and carry over to the straightforward palate along with citrusy notes. It's simple but well made.,Italy,Pinot Grigio,85,17.0
103259,"Pressed rose, violet, forest floor, baked plum and cake spice aromas emerge on this full-bodied red. The concentrated palate also has finesse, offering dried cherry, licorice, cinnamon and pipe tobacco framed in fresh acidity and a backbone of firm but refined tannins. Drink 2017–2025.",Italy,Red Blend,91,
105549,"This is a rich, heavy wine, a Chardonnay on steroids. It's packed with ripe and lush tree fruits, and those flavors are matched with generous barrel toast. Though it feels a bit thick on the palate, it has enough acidity to avoid being flabby and is terrifically delicious. Drink now through 2021.",US,Chardonnay,92,65.0
119353,"This jammy wine doles out overripe plum and mature dark-berry fruit, layered with a melted chocolate sensation. Warm and evolved, it has an almost sugary-sweet palate that's shy on freshness.",Italy,Aglianico,87,36.0
30269,"Packed with juicy red cherries, this is a fresh, fruity Beaujolais to drink this winter. There is just a touch of tannin as well as refreshing acidity.",France,Gamay,86,15.0
97303,"This is a ripe powerful wine. It has layers of wood aging adding spice to the rich black-plum fruit. Smoky, rich and concentrated, it is an impressive wine that is going to need some long-term aging. Drink from 2019.",Portugal,Touriga Nacional,92,45.0
75141,"A garnet color with a violet rim, this has aromas of black cherry, pomegranate juice and a touch of vanilla, followed by flavors of tart cherry, blackberry and black licorice. The finish boasts pleasant acidity coupled with a bright fruit finish.",Bulgaria,Merlot,87,10.0
29330,"Mint and eucalyptus aromas set the scene for a wine that is polished and sophisticated. It has firm tannins and balanced acidity that are well integrated into the flavors of berry fruit and wood. The wine is impressive, likely to age for 2–3 years or more.",Portugal,Portuguese Red,92,
86134,"This wine's shy nose suggests fig leaf and citrus. Green-tinged herbal notes and faint lime fruit swish sinuously n the light-bodied palate. It's slender yet creamy, lithe and full of personality. The finish is dry and refreshing.",Austria,Grüner Veltliner,90,15.0
4089,Aromas of exotic fruit and fragrant white flower lead the nose. The straightforward palate offers tart green apple and juicy citrus alongside lively acidity.,Italy,Pinot Grigio,86,11.0
104671,"This wine was whole-cluster pressed and puncheon fermented, with native malolactic fermentation. It's intriguing, with aromas of corn on the cob, lees, almond butter and chamomile that are followed by a dense flavorful palate. The balance is exquisite.",US,Chardonnay,91,50.0
62245,"Smells great and flashy, with inviting notes of blackberries, black currants, green olives and spicy sandalwood. Candied and sweet in the mouth, with blackberry and black cherry fruit. Tasted in March, 2011, the wine could well have been going through an awkward period. Should re-emerge by Fall and age well.",US,Cabernet Sauvignon,90,59.0
120228,"The 91-acre Grézels vineyard surrounds a 12th-century castle. This revived historic vineyard has produced a well-structured wine that is rich, despite its modest alcohol. It is dense with tannins and black fruits that are developing into a smoother texture. The wine needs to age further, so drink from 2017.",France,Malbec-Merlot,90,21.0
126116,"Part of a series of sparkling wines from Piera Martellozzo, this is a blend of Raboso and Pinot Nero. In fact, the wine's bright pink color comes from the former varietal and its delicate floral bouquet from the latter.",Italy,Sparkling Blend,86,20.0
29485,"Subtle Amarena cherry flavors play on nose and palate, where bitter chocolate, cinnamon and blackberry join in. Ripe tannins provide structure while fresh, tart-fruit flavors fill the medium-weight mouth. This is an accessible food wine that finishes with peppery spice.",Austria,Red Blend,89,37.0
